"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","iter_index","seeds"
"1",1,"7.1",1,"a",0.898505281250929,0.000210671642072618,2,0.898505281250929,7.1,1,1
"2",2,"7.1",3,"n",0.909407539982771,0.000234469008105678,0,0.817107477483935,7.1,1,1
"3",3,"7.1",3,"n",0.909769553056303,0.000257826109634103,0,0.743379504589523,7.3,1,1
"4",4,"7.1",3,"n",0.910118356753198,0.000283397162246148,2,0.676563333161022,7.5,1,1
"5",5,"7.1",5,"a",0.899208000325557,0.000311384953553902,2,0.608371161905316,7.5,1,1
"6",6,"7.1",7,"n",0.910118356753198,0.000346288015054543,2,0.5536897621693,7.5,1,1
"7",7,"7.1",9,"n",0.910118356753198,0.000380486793267097,2,0.503923216496592,7.5,1,1
"8",8,"7.1",11,"a",0.899208000325557,0.000418062980978061,2,0.453131787823523,7.5,1,1
"9",9,"7.1",13,"n",0.910118356753198,0.000464923555869946,2,0.412403558126584,7.5,1,1
"10",10,"7.1",15,"n",0.910118356753198,0.00051083856557793,2,0.375336048641338,7.5,1,1
"11",11,"7.1",17,"n",0.910118356753198,0.000561288058621651,2,0.341600227819693,7.5,1,1
"12",12,"7.1",19,"a",0.899208000325557,0.000616719852376145,2,0.307169657768501,7.5,1,1
"13",13,"7.1",21,"n",0.910118356753198,0.000685847826256953,0,0.27956074417271,7.5,1,1
"14",14,"7.1",21,"n",0.910454765281691,0.000753580917435487,0,0.254527411717739,7.7,1,1
"15",15,"7.1",21,"n",0.910779523208342,0.000827697263138969,0,0.231818354687736,7.9,1,1
"16",16,"7.1",21,"n",0.911093312996945,0.000908778954782926,0,0.21120815278595,8.1,1,1
"17",17,"7.1",21,"n",0.911396761568301,0.000997459801119156,0,0.192494426465938,8.3,1,1
"18",18,"7.1",21,"n",0.911690446028205,0.0010944298281275,0,0.175495329522674,8.5,1,1
"19",19,"7.1",21,"n",0.911974898685877,0.0012004401635395,0,0.160047335361286,8.7,1,1
"20",20,"7.1",21,"n",0.912250611464856,0.00131630833838661,0,0.146003279546654,8.9,1,1
"21",21,"7.1",21,"n",0.912518039791641,0.00144292404065691,0,0.133230626455063,9.1,1,1
"22",22,"7.1",21,"n",0.912777606033941,0.00158125535905721,2,0.121609932266055,9.3,1,1
"23",23,"7.1",23,"n",0.901836957959405,0.0017323555580289,1,0.109672331372468,9.3,1,1
"24",24,"7.1",24,"a",0.901962470425049,0.00192091878996478,2,0.0989203269419862,9.4,1,1
"25",25,"7.1",26,"o",0.901836957959405,0.00212971032936608,0,0.0892100067297107,9.3,1,1
"26",26,"7.1",26,"o",0.902208140147447,0.00236152478623741,0,0.0804859942541535,9.6,1,1
"27",27,"7.1",26,"o",0.902563898421186,0.00261749443521034,0,0.0726437527423339,9.9,1,1
"28",28,"7.1",26,"o",0.902905311302148,0.0029000655131332,0,0.0655904301839733,10.2,1,1
"29",29,"7.1",26,"o",0.903233353029144,0.00321192651857458,0,0.0592434641816941,10.5,1,1
"30",30,"7.1",26,"o",0.903548906277751,0.00355603179156621,0,0.0535293672654749,10.8,1,1
"31",31,"7.1",26,"o",0.903951593111238,0.00393562735437929,0,0.0483879568178626,11.2,1,1
"32",32,"7.1",26,"o",0.904335203045735,0.00435380321730898,0,0.04375893275385,11.6,1,1
"33",33,"7.1",26,"o",0.904701250446272,0.00481436883430579,0,0.0395887611806024,12,1,1
"34",34,"7.1",26,"o",0.905051084102993,0.00532150124909295,0,0.0358298512247987,12.4,1,1
"35",35,"7.1",26,"o",0.905385909983916,0.00587977998431675,0,0.0324398424557527,12.8,1,1
"36",36,"7.1",26,"o",0.905706810261013,0.00649422519113557,0,0.0293809862359696,13.2,1,1
"37",37,"7.1",26,"o",0.906089827984434,0.00717033936099478,0,0.0266218127645627,13.7,1,1
"38",38,"7.1",26,"o",0.906454301688849,0.007913497248882,0,0.0241314566991929,14.2,1,1
"39",39,"7.1",26,"o",0.906801734472765,0.0087301667984123,0,0.0218824467901826,14.7,1,1
"40",40,"7.1",26,"o",0.907133461753876,0.00962742622397851,0,0.0198502997084233,15.2,1,1
"41",41,"7.1",26,"o",0.907450674763154,0.0106130207184339,0,0.0180131678646596,15.7,1,1
"42",42,"7.1",26,"o",0.907754440117825,0.0116954243504242,0,0.0163515331097324,16.2,1,1
"43",43,"7.1",26,"o",0.908045716226358,0.0128839076225352,0,0.014847939594026,16.7,1,1
"44",44,"7.1",26,"o",0.908379972365075,0.0141886112034953,0,0.0134875709580996,17.3,1,1
"45",45,"7.1",26,"o",0.908698821667984,0.0156196873942008,0,0.0122561398367885,17.9,1,1
"46",46,"7.1",26,"o",0.909003454801613,0.017189069713472,0,0.0111408734541724,18.5,1,1
"47",47,"7.1",26,"o",0.9092949356047,0.018909795801847,0,0.0101303398100918,19.1,1,1
"48",48,"7.1",26,"o",0.909574218079459,0.0207961081288456,0,0.00921429591164346,19.7,1,1
"49",49,"7.1",26,"o",0.909842160667752,0.0228635637592675,0,0.00838355490128172,20.3,1,1
"50",50,"7.1",26,"o",0.910099538312034,0.0251291539869811,0,0.00762986944507009,20.9,1,1
"51",51,"7.1",26,"o",0.91034705269752,0.0276114347157985,0,0.00694582916178642,21.5,1,1
"52",52,"7.1",26,"o",0.910585340992123,0.0303306685444643,0,0.00632477021575832,22.1,1,1
"53",53,"7.1",26,"o",0.910814983338624,0.0333089795970334,0,0.00576069547868654,22.7,1,1
"54",54,"7.1",26,"o",0.911036509304996,0.0365705222315713,0,0.00524820390007166,23.3,1,1
"55",55,"7.1",26,"o",0.911250403460448,0.0401416648598088,0,0.004782427921383,23.9,1,1
"56",56,"7.1",26,"o",0.911457110214323,0.0440511902188158,0,0.00435897793303204,24.5,1,1
"57",57,"7.1",26,"o",0.911657038030695,0.0483305135536849,0,0.00397389291126915,25.1,1,1
"58",58,"7.1",26,"o",0.911850563112019,0.0530139202984551,0,0.00362359648888763,25.7,1,1
"59",59,"7.1",26,"o",0.912038032629352,0.0581388249819421,0,0.00330485781276771,26.3,1,1
"60",60,"7.1",26,"o",NA,NA,NA,NA,26.9,1,1
"61",1,"7.6",1,"a",0.899375772655235,0.000228597357812713,2,0.899375772655235,7.6,1,1
"62",2,"7.6",3,"n",0.910118356753198,0.000254173355301559,2,0.81853840031262,7.5,1,1
"63",3,"7.6",5,"a",0.899208000325557,0.000279275056277636,2,0.736036278134792,7.5,1,1
"64",4,"7.6",7,"n",0.910118356753198,0.000310578927430055,2,0.669880127966776,7.5,1,1
"65",5,"7.6",9,"n",0.910118356753198,0.000341251140717598,2,0.609670201286744,7.5,1,1
"66",6,"7.6",11,"a",0.899208000325557,0.000374952486328256,2,0.548220322557133,7.5,1,1
"67",7,"7.6",13,"n",0.910118356753198,0.000416980816665894,2,0.498945379104405,7.5,1,1
"68",8,"7.6",15,"n",0.910118356753198,0.000458161088139627,2,0.454099348540103,7.5,1,1
"69",9,"7.6",17,"n",0.910118356753198,0.000503408248762385,2,0.413284152896016,7.5,1,1
"70",10,"7.6",19,"a",0.899208000325557,0.000553123937152822,2,0.371628416691868,7.5,1,1
"71",11,"7.6",21,"n",0.910118356753198,0.000615123460815033,0,0.338225843922396,7.5,1,1
"72",12,"7.6",21,"n",0.910454765281691,0.000675871941545554,0,0.307939331340566,7.7,1,1
"73",13,"7.6",21,"n",0.910779523208342,0.000742345438036608,0,0.280464837375457,7.9,1,1
"74",14,"7.6",21,"n",0.911093312996945,0.00081506601665966,0,0.255529637863554,8.1,1,1
"75",15,"7.6",21,"n",0.911396761568301,0.000894602128050515,0,0.232888884433564,8.3,1,1
"76",16,"7.6",21,"n",0.911690446028205,0.000981572642973971,0,0.212322570924247,8.5,1,1
"77",17,"7.6",21,"n",0.911974898685877,0.00107665123315727,0,0.193632855107365,8.7,1,1
"78",18,"7.6",21,"n",0.912250611464856,0.00118057112614469,0,0.17664169047138,8.9,1,1
"79",19,"7.6",21,"n",0.912518039791641,0.00129413026563936,0,0.161188729134425,9.1,1,1
"80",20,"7.6",21,"n",0.912777606033941,0.00141819691141104,2,0.147129462298974,9.3,1,1
"81",21,"7.6",23,"n",0.901836957959405,0.0015537157156749,1,0.13268678670591,9.3,1,1
"82",22,"7.6",24,"a",0.901962470425049,0.00172283437927683,2,0.119678501930024,9.4,1,1
"83",23,"7.6",26,"o",0.901836957959405,0.00191009541501759,0,0.107930496113712,9.3,1,1
"84",24,"7.6",26,"o",0.902208140147447,0.00211800525378732,0,0.0973757721639429,9.6,1,1
"85",25,"7.6",26,"o",0.902563898421186,0.00234757941049077,0,0.0878878565360615,9.9,1,1
