"","Wstart","S.cum.riv","G.riv","G.ocean","dur","p0.n","p1.n","p2.n","p0.a","p1.a"," p2.a","seeds"
"1","7.1",0.0876544933811112,3.2,14.1,25,0.6,0,0.4,0,0,1,1
"2","8.5",0.0870391389081885,3.2,14.3,25,0.6,0,0.4,0,0.2,0.8,1
"3","10",0.0874691537794986,3.2,14.3,25,0.6,0,0.4,0,0.2,0.8,1
"4","11.4",0.0878932347270126,3.2,14.4,25,0.6,0,0.4,0,0.2,0.8,1
"5","12.8",0.0883121747025667,3.2,14.6,25,0.6,0.05,0.35,0,0,1,1
"6","14.3",0.0797963874394652,3.4,14.4,26,0.545454545454545,0.0909090909090909,0.363636363636364,0,0.25,0.75,1
"7","15.7",0.0955652587144869,3.5,15.1,24,0.428571428571429,0.238095238095238,0.333333333333333,0,0,1,1
"8","17.1",0.0874000858591923,3.7,15,25,0.454545454545455,0.227272727272727,0.318181818181818,0,0,1,1
"9","18.6",0.0963869011273017,3.5,15.3,24,0.428571428571429,0.238095238095238,0.333333333333333,0,0,1,1
"10","20",0.0881693572914608,3.7,15,25,0.454545454545455,0.227272727272727,0.318181818181818,0,0,1,1
"11","7.1",0.08660366421615,3.2,14.1,25,0.523809523809524,0.0952380952380952,0.380952380952381,0,0,1,2
"12","8.5",0.0859956972239847,3.2,14.3,25,0.523809523809524,0.0952380952380952,0.380952380952381,0,0.25,0.75,2
"13","10",0.0864205672705489,3.2,14.3,25,0.523809523809524,0.0952380952380952,0.380952380952381,0,0.25,0.75,2
"14","11.4",0.0602587664309482,4,12.9,29,0.6,0.08,0.32,0,0,1,2
"15","12.8",0.0598647541633808,4,13.1,29,0.6,0.08,0.32,0,0.25,0.75,2
"16","14.3",0.0876605887090218,3.2,14.8,25,0.523809523809524,0.0952380952380952,0.380952380952381,0,0.25,0.75,2
"17","15.7",0.0967247586810597,3.3,15.1,24,0.5,0.15,0.35,0,0,1,2
"18","17.1",0.097143317560145,3.3,15.3,24,0.5,0.15,0.35,0,0,1,2
"19","18.6",0.0975563491529079,3.3,15.3,24,0.5,0.15,0.35,0,0,1,2
"20","20",0.0979632741374501,3.2,15.3,24,0.5,0.1,0.4,0,0.25,0.75,2
"21","7.1",0.0940885205547914,3,14.4,24,0.611111111111111,0,0.388888888888889,0,0.166666666666667,0.833333333333333,3
"22","8.5",0.0859956972239847,3.2,14.3,25,0.631578947368421,0,0.368421052631579,0,0.166666666666667,0.833333333333333,3
"23","10",0.0864205672705489,3.2,14.3,25,0.631578947368421,0,0.368421052631579,0,0.166666666666667,0.833333333333333,3
"24","11.4",0.0868395744377862,3.2,14.4,25,0.631578947368421,0,0.368421052631579,0,0.166666666666667,0.833333333333333,3
"25","12.8",0.0872528672401257,3.2,14.6,25,0.631578947368421,0,0.368421052631579,0,0.166666666666667,0.833333333333333,3
"26","14.3",0.0876605887090218,3.2,14.8,25,0.631578947368421,0,0.368421052631579,0,0.166666666666667,0.833333333333333,3
"27","15.7",0.0880628766582852,3.2,14.8,25,0.631578947368421,0,0.368421052631579,0,0.166666666666667,0.833333333333333,3
"28","17.1",0.0971426106991242,3,15.3,24,0.611111111111111,0,0.388888888888889,0,0.166666666666667,0.833333333333333,3
